2lr,3colsample,4max_depth,5gamma,6reg_l2,7reg_l1,8AUC
0.1,0.8,16,2,1.0,1.0,0.8480123732856291
0.1,0.8,16,2,1.0,0.5,0.8480123732856291
0.1,0.8,16,2,1.0,0.0,0.8480123732856291
0.1,0.8,16,2,0.5,1.0,0.8480123732856291
0.1,0.8,16,2,0.5,0.5,0.8480123732856291
0.1,0.8,16,2,0.5,0.0,0.8480123732856291
0.1,0.8,16,2,0.0,1.0,0.8480123732856291
0.1,0.8,16,2,0.0,0.5,0.8480123732856291
0.1,0.8,16,2,0.0,0.0,0.8480123732856291
0.1,0.8,16,1,1.0,1.0,0.8480123732856291
0.1,0.8,16,1,1.0,0.5,0.8480123732856291
0.1,0.8,16,1,1.0,0.0,0.8480123732856291
0.1,0.8,16,1,0.5,1.0,0.8480123732856291
0.1,0.8,16,1,0.5,0.5,0.8480123732856291
0.1,0.8,16,1,0.5,0.0,0.8480123732856291
0.1,0.8,16,1,0.0,1.0,0.8480123732856291
0.1,0.8,16,1,0.0,0.5,0.8480123732856291
0.1,0.8,16,1,0.0,0.0,0.8480123732856291
0.1,0.8,16,0,1.0,1.0,0.8480123732856291
0.1,0.8,16,0,1.0,0.5,0.8480123732856291
0.1,0.8,16,0,1.0,0.0,0.8480123732856291
0.1,0.8,16,0,0.5,1.0,0.8480123732856291
0.1,0.8,16,0,0.5,0.5,0.8480123732856291
0.1,0.8,16,0,0.5,0.0,0.8480123732856291
0.1,0.8,16,0,0.0,1.0,0.8480123732856291
0.1,0.8,16,0,0.0,0.5,0.8480123732856291
0.1,0.8,16,0,0.0,0.0,0.8480123732856291
0.1,0.8,12,2,1.0,1.0,0.852342128801431
0.1,0.8,12,2,1.0,0.5,0.852342128801431
0.1,0.8,12,2,1.0,0.0,0.852342128801431
0.1,0.8,12,2,0.5,1.0,0.852342128801431
0.1,0.8,12,2,0.5,0.5,0.852342128801431
0.1,0.8,12,2,0.5,0.0,0.852342128801431
0.1,0.8,12,2,0.0,1.0,0.852342128801431
0.1,0.8,12,2,0.0,0.5,0.852342128801431
0.1,0.8,12,2,0.0,0.0,0.852342128801431
0.1,0.8,12,1,1.0,1.0,0.852342128801431
