parameter,mean_result
"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",0.7786393070549338
"{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",0.800022580000593
"{'C': 0.01, 'gamma': 1, 'kernel': 'rbf'}",0.6985388204532118
"{'C': 0.01, 'gamma': 10, 'kernel': 'rbf'}",0.606869105982596
"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.8275678188869385
"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8083229536346251
"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.6985388204532118
"{'C': 0.1, 'gamma': 10, 'kernel': 'rbf'}",0.606631454691979
"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.8001577624347463
"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.7787397171806203
"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.696739122269838
"{'C': 1, 'gamma': 10, 'kernel': 'rbf'}",0.5791285154252908
"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.7926100998255101
"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.7214525863915293
"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.6949801730100142
"{'C': 10, 'gamma': 10, 'kernel': 'rbf'}",0.5789332240370348
"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",0.7962513883030217
"{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",0.8087630042667495
"{'C': 0.01, 'gamma': 1, 'kernel': 'rbf'}",0.7203334037059638
"{'C': 0.01, 'gamma': 10, 'kernel': 'rbf'}",0.6538882823749965
"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.822963675408418
"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8056060875319379
"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.7203334037059638
"{'C': 0.1, 'gamma': 10, 'kernel': 'rbf'}",0.6540556192975254
"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.7874290614656714
"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.7524172144335352
"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.7197968062831644
"{'C': 1, 'gamma': 10, 'kernel': 'rbf'}",0.602536026957527
"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.7470591768821584
"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.6858914407422293
"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.7192734977018831
"{'C': 10, 'gamma': 10, 'kernel': 'rbf'}",0.6082635687063724
